Year,Name,Position,College,Rating
2004,Rob Schirmann,OT,Duke Blue Devils,0.7444
2004,Rodney Ezzard,ATH,Duke Blue Devils,0.7222
2004,Corey Thompson,WR,Duke Blue Devils,0.7222
2004,Jonathan Terry,OT,Duke Blue Devils,0.7222
2004,Zach Smith,OLB,Duke Blue Devils,0.7222
2004,Charles Robinson,OLB,Duke Blue Devils,0.7222
2004,Evalio Harrell,CB,Duke Blue Devils,0.7222
2004,Cameron Goldberg,OT,Duke Blue Devils,0.7222
2004,Matt Rumsey,OG,Duke Blue Devils,0.7000
2004,Ryan Wood,WR,Duke Blue Devils,0.7000
2005,Peter Shaheen,RB,Duke Blue Devils,NA
2005,Clifford Respress,SDE,Duke Blue Devils,0.8778
2005,Requan Boyette,CB,Duke Blue Devils,0.8556
2005,Marcus Jones,DUAL,Duke Blue Devils,0.8556
2005,Ayanga Okpokowuruk,WDE,Duke Blue Devils,0.8556
2005,Paul Thornton,OLB,Duke Blue Devils,0.8333
2005,Gene Delle Donne,PRO,Duke Blue Devils,0.8333
2005,Zack Asack,DUAL,Duke Blue Devils,0.8111
2005,Eron Riley,WR,Duke Blue Devils,0.7667
2005,Ben Loebner,OT,Duke Blue Devils,0.7667
2005,Kinney Rucker,ILB,Duke Blue Devils,0.7667
2005,Norm Gee,SDE,Duke Blue Devils,0.7667
2005,Joe Suder,OG,Duke Blue Devils,0.7556
2005,Greg Akinbiyi,OLB,Duke Blue Devils,0.7444
2005,Clifford Harris,RB,Duke Blue Devils,0.7444
2005,Raphael Chestnut,WR,Duke Blue Devils,0.7444
2005,Joe Surgan,K,Duke Blue Devils,0.7444
2005,Glenn Williams,CB,Duke Blue Devils,0.7444
2005,Ryan Radloff,SDE,Duke Blue Devils,0.7222
2005,Marvin Marcelin,S,Duke Blue Devils,0.7222
2005,Kris Stubbs,WR,Duke Blue Devils,0.7222
2005,Mike Brown,ILB,Duke Blue Devils,0.7222
2006,Brandon King,FB,Duke Blue Devils,0.9281
2006,Thad Lewis,DUAL,Duke Blue Devils,0.8756
2006,William Ball,TE,Duke Blue Devils,0.8600
2006,Wesley Oglesby,WDE,Duke Blue Devils,0.8500
2006,Marcus Lind,OT,Duke Blue Devils,0.8467
2006,Jarrod Holt,OT,Duke Blue Devils,0.8433
2006,Tyler Rice,ILB,Duke Blue Devils,0.8333
2006,Brett Huffman,TE,Duke Blue Devils,0.8333
2006,John Lubischer,TE,Duke Blue Devils,0.8300
2006,Jeremy Ringfield,WR,Duke Blue Devils,0.8256
2006,Robert Drum,OT,Duke Blue Devils,0.8211
2006,Mitchell Lederman,OT,Duke Blue Devils,0.8156
2006,Sheldon Bell,WR,Duke Blue Devils,0.8078
2006,Abraham Dukuly,S,Duke Blue Devils,0.7889
2006,Leon Wright,RB,Duke Blue Devils,0.7678
2006,Andrew Holoman,OLB,Duke Blue Devils,0.7667
2006,Patrick Egboh,SDE,Duke Blue Devils,0.7667
2006,Ifreke Okpokowuruk,DT,Duke Blue Devils,0.7667
2006,Catron Gainey,S,Duke Blue Devils,0.7444
2006,Jeffrey Cowart,OG,Duke Blue Devils,0.7444
2006,Kevin Jones,K,Duke Blue Devils,0.7222
2006,Matt Pridemore,CB,Duke Blue Devils,0.7222
2006,Vincent Rey,ILB,Duke Blue Devils,0.7222
2006,Chris Rwabukamba,CB,Duke Blue Devils,0.7222
2006,Brandon Harper,DT,Duke Blue Devils,0.7000
2007,Chris Shannon,OT,Duke Blue Devils,0.8600
2007,Danny Parker,TE,Duke Blue Devils,0.8556
2007,Charlie Hatcher,SDE,Duke Blue Devils,0.8467
2007,Randez James,CB,Duke Blue Devils,0.8389
2007,Josh Trezvant,ATH,Duke Blue Devils,0.8333
2007,Kyle Hill,OG,Duke Blue Devils,0.8322
2007,Mike Cappetto,PRO,Duke Blue Devils,0.8233
2007,Bryan Morgan,OG,Duke Blue Devils,0.8111
2007,Austin Kelly,WR,Duke Blue Devils,0.8033
2007,Eddie Morgan,S,Duke Blue Devils,0.7967
2007,Eriks Reks,SDE,Duke Blue Devils,0.7956
2007,Jonathan Needham,OT,Duke Blue Devils,0.7889
2007,Adam Banks,OLB,Duke Blue Devils,0.7744
2007,Tony Jackson,CB,Duke Blue Devils,0.7511
2007,Damian Thornton,ILB,Duke Blue Devils,0.7444
2007,Nick Maggio,K,Duke Blue Devils,0.7222
2007,Sam Poggi,OLB,Duke Blue Devils,0.7222
2007,Justin Wilkerson,ILB,Duke Blue Devils,0.7222
2007,Colin Jones,ATH,Duke Blue Devils,0.7000
2007,Cameron Jones,ATH,Duke Blue Devils,0.7000
2007,Garrett Utt,TE,Duke Blue Devils,0.7000
2008,Sean Renfree,PRO,Duke Blue Devils,0.8970
2008,Matt Daniels,S,Duke Blue Devils,0.8822
2008,Brian Moore,OG,Duke Blue Devils,0.8611
2008,Jay Hollingsworth,RB,Duke Blue Devils,0.8567
2008,Donovan Varner,WR,Duke Blue Devils,0.8556
2008,Kenny Anunike,SDE,Duke Blue Devils,0.8556
2008,Paul Asack,K,Duke Blue Devils,0.8456
2008,Trent Mackey,ILB,Duke Blue Devils,0.8233
2008,Lee Butler,ATH,Duke Blue Devils,0.8211
2008,Jordon Byas,ATH,Duke Blue Devils,0.8111
2008,Curtis Hazelton,WDE,Duke Blue Devils,0.8067
2008,Patrick Kurunwune,RB,Duke Blue Devils,0.8056
2008,Jackson Anderson,TE,Duke Blue Devils,0.7667
2008,Johnny Williams,WR,Duke Blue Devils,0.7667
2008,Conor Irwin,OT,Duke Blue Devils,0.7444
2008,Tony Foster,WR,Duke Blue Devils,0.7444
2009,Dave Harding,OG,Duke Blue Devils,NA
2009,Desmond Scott,APB,Duke Blue Devils,0.9155
2009,John Drew,DT,Duke Blue Devils,0.8808
2009,Tyree Watkins,WR,Duke Blue Devils,0.8689
2009,David Harding,OG,Duke Blue Devils,0.8644
2009,Austin Gamble,ILB,Duke Blue Devils,0.8644
2009,Ryan Hall,TE,Duke Blue Devils,0.8611
2009,Taylor Sowell,CB,Duke Blue Devils,0.8600
2009,Walt Canty,S,Duke Blue Devils,0.8556
2009,Sean Schroeder,PRO,Duke Blue Devils,0.8533
2009,Corey Gattis,ATH,Duke Blue Devils,0.8500
2009,Brandon Putnam,WDE,Duke Blue Devils,0.8467
2009,Lex Butler,CB,Duke Blue Devils,0.8467
2009,Conner Vernon,WR,Duke Blue Devils,0.8467
2009,John Coleman,OT,Duke Blue Devils,0.8422
2009,Ross Cockrell,CB,Duke Blue Devils,0.8333
2009,Justin Foxx,WDE,Duke Blue Devils,0.8326
2009,August Campbell,OLB,Duke Blue Devils,0.8289
2009,Zach Greene,ATH,Duke Blue Devils,0.8222
2009,Sydney Sarmiento,SDE,Duke Blue Devils,0.8200
2009,Tyree Glover,OLB,Duke Blue Devils,0.8133
2009,Jack Farrell,TE,Duke Blue Devils,0.8126
2009,Kyle Griswould,RB,Duke Blue Devils,0.8100
2009,Anthony Young-Wiseman,ATH,Duke Blue Devils,0.7944
2009,Garett Patterson,S,Duke Blue Devils,0.7900
2009,Joey Finison,OG,Duke Blue Devils,0.7844
2009,Kevin Rojas,OLB,Duke Blue Devils,0.7222
2009,Perry Simmons,OT,Duke Blue Devils,0.7222
2010,Josh Snead,RB,Duke Blue Devils,NA
2010,Cooper Helfet,WR,Duke Blue Devils,NA
2010,Juwan Thompson,RB,Duke Blue Devils,0.8789
2010,Kelby Brown,OLB,Duke Blue Devils,0.8722
2010,Laken Tomlinson,OG,Duke Blue Devils,0.8722
2010,Anthony Boone,DUAL,Duke Blue Devils,0.8711
2010,Takoby Cofield,OT,Duke Blue Devils,0.8689
2010,Joshua Snead,ATH,Duke Blue Devils,0.8637
2010,Jamal Wallace,SDE,Duke Blue Devils,0.8578
2010,Dezmond Johnson,WDE,Duke Blue Devils,0.8556
2010,Brandon Connette,DUAL,Duke Blue Devils,0.8533
2010,Clerance France,OLB,Duke Blue Devils,0.8500
2010,Jamal Bruce,SDE,Duke Blue Devils,0.8356
2010,Brandon Braxton,WR,Duke Blue Devils,0.8311
2010,Braxton Deaver,WR,Duke Blue Devils,0.8244
2010,Quantrez Stevenson,ATH,Duke Blue Devils,0.8126
2010,Nick Sink,TE,Duke Blue Devils,0.8111
2010,Steven Ingram,DT,Duke Blue Devils,0.7667
2010,Jordan Ondijo,SDE,Duke Blue Devils,0.7667
2010,Will Bryant,DT,Duke Blue Devils,0.7667
2010,Issac Blakeney,ATH,Duke Blue Devils,0.7667
2011,Cody Robinson,OG,Duke Blue Devils,0.8669
2011,Lucas Patrick,OG,Duke Blue Devils,0.8589
2011,Jared Boyd,CB,Duke Blue Devils,0.8381
2011,Jamison Crowder,WR,Duke Blue Devils,0.8358
2011,David Reeves,OT,Duke Blue Devils,0.8356
2011,Will Monday,K,Duke Blue Devils,0.8294
2011,Marcus Aprahamian,OG,Duke Blue Devils,0.8283
2011,Sam Marshall,OT,Duke Blue Devils,0.8197
2011,Kyler Brown,WDE,Duke Blue Devils,0.8186
2011,Matt Skura,OG,Duke Blue Devils,0.8156
2011,David Helton,ILB,Duke Blue Devils,0.8142
2011,Mario Sanders,SDE,Duke Blue Devils,0.8108
2011,Nick Hill,WR,Duke Blue Devils,0.8078
2011,Lucas Fisher,SDE,Duke Blue Devils,0.8019
2011,Jonathan Jones,OLB,Duke Blue Devils,0.7926
2011,Britton Grier,OLB,Duke Blue Devils,0.7919
2011,Carson Ginn,OG,Duke Blue Devils,0.7719
2012,Johndre Bennett,WR,Duke Blue Devils,NA
2012,Shaquille Powell,APB,Duke Blue Devils,0.8837
2012,Deion Williams,OLB,Duke Blue Devils,0.8742
2012,Dan Beilinson,TE,Duke Blue Devils,0.8654
2012,Ross Martin,K,Duke Blue Devils,0.8590
2012,Keilin Rayner,ILB,Duke Blue Devils,0.8578
2012,Allen Jackson,SDE,Duke Blue Devils,0.8392
2012,Thomas Sirk,PRO,Duke Blue Devils,0.8386
2012,Anthony Nash,WR,Duke Blue Devils,0.8361
2012,Dwayne Norman,ATH,Duke Blue Devils,0.8214
2012,Michael Westray,S,Duke Blue Devils,0.8206
2012,Carlos Wray,SDE,Duke Blue Devils,0.8150
2012,A.J. Wolf,WDE,Duke Blue Devils,0.8131
2012,Michael Mann,WDE,Duke Blue Devils,0.8122
2012,Erich Schneider,WR,Duke Blue Devils,0.8122
2012,Max McCaffrey,WR,Duke Blue Devils,0.8081
2012,Casey Blaser,OT,Duke Blue Devils,0.8072
2012,Tanner Stone,OT,Duke Blue Devils,0.7969
2012,DeVon Edwards,CB,Duke Blue Devils,0.7759
2013,William Holmquist,K,Duke Blue Devils,NA
2013,Evrett Edwards,CB,Duke Blue Devils,0.8564
2013,Dominic McDonald,ILB,Duke Blue Devils,0.8564
2013,Austin Davis,OC,Duke Blue Devils,0.8500
2013,Johnell Barnes,WR,Duke Blue Devils,0.8470
2013,Parker Boehme,DUAL,Duke Blue Devils,0.8458
2013,Joseph Ajeigbe,RB,Duke Blue Devils,0.8442
2013,Sterling Korona,OT,Duke Blue Devils,0.8278
2013,Terrence Alls,WR,Duke Blue Devils,0.8250
2013,Deondre Singleton,CB,Duke Blue Devils,0.8248
2013,Jake Kite,S,Duke Blue Devils,0.8236
2013,Chris Holmes,ATH,Duke Blue Devils,0.8189
2013,Quay Chambers,DUAL,Duke Blue Devils,0.8094
2013,Gabe Brandner,OT,Duke Blue Devils,0.8067
2013,Bryon Fields,CB,Duke Blue Devils,0.8025
2013,Ryan Smith,WR,Duke Blue Devils,0.8017
2013,T.J. Douglas,ATH,Duke Blue Devils,0.7993
2013,Breon Borders,CB,Duke Blue Devils,0.7978
2013,Phillip Carter,WR,Duke Blue Devils,0.7947
2013,Quay Mann,RB,Duke Blue Devils,0.7928
2013,Mike Ramsay,DT,Duke Blue Devils,0.7785
2014,Danny Doyle,WDE,Duke Blue Devils,NA
2014,Collin Wareham,K,Duke Blue Devils,NA
2014,Trevon Lee,WR,Duke Blue Devils,0.8782
2014,Alonzo Saxton,CB,Duke Blue Devils,0.8594
2014,Trip McNeill,OT,Duke Blue Devils,0.8581
2014,Nico Pierre,PRO,Duke Blue Devils,0.8572
2014,Taariq Shabazz,WDE,Duke Blue Devils,0.8553
2014,Edgar Cerenord,DT,Duke Blue Devils,0.8544
2014,Zach Harmon,OG,Duke Blue Devils,0.8522
2014,Johnathan Lloyd,DUAL,Duke Blue Devils,0.8511
2014,Shaun Wilson,RB,Duke Blue Devils,0.8486
2014,Christian Harris,OT,Duke Blue Devils,0.8442
2014,Zavier Carmichael,OLB,Duke Blue Devils,0.8417
